,year,maincat,subcat,value
149,2012,Meat,"Lean Pork, Frozen (Per 500 Gram)",
150,2012,Meat,"Mutton, Chilled (Per Kilogram)",17.79
151,2012,Meat,"Pork Rib Bones, Chilled (Per Kilogram)",16.48
152,2012,Meat,"Pork Rib Bones, Frozen (Per 500 Gram)",
153,2012,Meat,"Streaky Pork, Chilled (Per Kilogram)",14.4
154,2012,Meat,"Whole Chicken, Chilled (Per Kilogram)",5.87
155,2012,"Milk, Cheese & Eggs",Cheese (Per 12 Slices),5.07
156,2012,"Milk, Cheese & Eggs",Fresh Milk (Per Litre),2.88
157,2012,"Milk, Cheese & Eggs",Hen Eggs (Per 10),1.88
158,2012,"Milk, Cheese & Eggs",Infant Milk Powder (Per 100 Gram),4.48
159,2012,Petrol,"Petrol, 92 Octane (Per Litre)",1.95
160,2012,Petrol,"Petrol, 95 Octane (Per Litre)",2.0
161,2012,Petrol,"Petrol, 98 Octane (Per Litre)",2.13
162,2012,Rice,Premium Thai Rice (Per 5 Kilogram),12.67
163,2012,Vegetables,Broccoli (Per Kilogram),7.54
164,2012,Vegetables,Cabbage (Per Kilogram),1.91
165,2012,Vegetables,Carrots (Per Kilogram),1.96
166,2012,Vegetables,Chinese Kale (Kailan) (Per Kilogram),4.13
167,2012,Vegetables,Potatoes (Per Kilogram),1.71
168,2012,Vegetables,Small Mustard (Chye Sim) (Per Kilogram),2.97
169,2012,Vegetables,Spinach (Bayam) (Per Kilogram),2.79
170,2012,Vegetables,Tomatoes (Per Kilogram),2.0
171,2013,Bread,Ordinary White Bread (Per 400 Gram),1.49
172,2013,Bread,Vitamin Enriched Bread (Per 400 Gram),1.68
173,2013,Bread,Wholemeal Bread (Per 400 Gram),
174,2013,Fish & Seafood,Cod Fish (Per Kilogram),49.58
175,2013,Fish & Seafood,Flowery Grouper (Per Kilogram),14.63
176,2013,Fish & Seafood,Gold Banded Scad (Kuning) (Per Kilogram),6.57
177,2013,Fish & Seafood,Golden Snapper (Per Kilogram),17.71
178,2013,Fish & Seafood,Medium Prawns (Per Kilogram),17.88
179,2013,Fish & Seafood,Salmon (Per Kilogram),26.23
180,2013,Fish & Seafood,Sea Bass (Per Kilogram),12.29
181,2013,Fish & Seafood,Sea Bream (Ang Ko Li) (Per Kilogram),8.43
182,2013,Fish & Seafood,Small Prawns (Per Kilogram),11.69
183,2013,Fish & Seafood,Spanish Mackerel (Batang) (Per Kilogram),11.07
184,2013,Fish & Seafood,Squids (Per Kilogram),11.97
185,2013,Fish & Seafood,Threadfin (Kurau) (Per Kilogram),48.53
186,2013,Fish & Seafood,White Pomfret (Per Kilogram),24.7
187,2013,Fruits,Apple (Each),0.42
188,2013,Fruits,Bananas (Per Kilogram),1.81
189,2013,Fruits,Grapes (Per Kilogram),8.43
190,2013,Fruits,Orange (Each),0.36
191,2013,Fruits,Papaya (Per Kilogram),1.92
192,2013,Fruits,Pear (Each),0.95
193,2013,Fruits,Watermelon (Per Kilogram),1.46
194,2013,Hawker Food,Chicken Nasi Briyani (Per Plate),
195,2013,Hawker Food,Chicken Rice (Per Plate),
196,2013,Hawker Food,Economical Rice (1 Meat & 2 Vegetables) (Per Plate),
197,2013,Hawker Food,Fishball Noodle (Per Bowl),
198,2013,Hawker Food,Fried Carrot Cake (Per Plate),
199,2013,Hawker Food,Ice Kachang (Per Bowl),
200,2013,Hawker Food,Mee Rebus (Per Bowl),
201,2013,Hawker Food,Roti Prata (Plain) (Per Piece),
202,2013,Meat,"Beef, Chilled (Per Kilogram)",
203,2013,Meat,"Chicken Wing, Chilled (Per Kilogram)",
204,2013,Meat,"Duck, Chilled (Per Kilogram)",6.87
205,2013,Meat,"Lean Pork, Chilled (Per Kilogram)",13.14
206,2013,Meat,"Lean Pork, Frozen (Per 500 Gram)",
207,2013,Meat,"Mutton, Chilled (Per Kilogram)",17.89
208,2013,Meat,"Pork Rib Bones, Chilled (Per Kilogram)",16.4
209,2013,Meat,"Pork Rib Bones, Frozen (Per 500 Gram)",
210,2013,Meat,"Streaky Pork, Chilled (Per Kilogram)",14.67
211,2013,Meat,"Whole Chicken, Chilled (Per Kilogram)",5.96
212,2013,"Milk, Cheese & Eggs",Cheese (Per 12 Slices),4.85
213,2013,"Milk, Cheese & Eggs",Fresh Milk (Per Litre),2.93
214,2013,"Milk, Cheese & Eggs",Hen Eggs (Per 10),1.94
215,2013,"Milk, Cheese & Eggs",Infant Milk Powder (Per 100 Gram),4.92
216,2013,Petrol,"Petrol, 92 Octane (Per Litre)",1.99
217,2013,Petrol,"Petrol, 95 Octane (Per Litre)",2.05
218,2013,Petrol,"Petrol, 98 Octane (Per Litre)",2.2
219,2013,Rice,Premium Thai Rice (Per 5 Kilogram),12.78
220,2013,Vegetables,Broccoli (Per Kilogram),7.38
221,2013,Vegetables,Cabbage (Per Kilogram),1.94
222,2013,Vegetables,Carrots (Per Kilogram),1.98
223,2013,Vegetables,Chinese Kale (Kailan) (Per Kilogram),4.31
224,2013,Vegetables,Potatoes (Per Kilogram),1.78
225,2013,Vegetables,Small Mustard (Chye Sim) (Per Kilogram),3.04
226,2013,Vegetables,Spinach (Bayam) (Per Kilogram),2.81
227,2013,Vegetables,Tomatoes (Per Kilogram),2.2
228,2014,Bread,Ordinary White Bread (Per 400 Gram),1.57
229,2014,Bread,Vitamin Enriched Bread (Per 400 Gram),1.88
230,2014,Bread,Wholemeal Bread (Per 400 Gram),2.04
231,2014,Fish & Seafood,Cod Fish (Per Kilogram),48.6
232,2014,Fish & Seafood,Flowery Grouper (Per Kilogram),13.79
233,2014,Fish & Seafood,Gold Banded Scad (Kuning) (Per Kilogram),6.77
234,2014,Fish & Seafood,Golden Snapper (Per Kilogram),18.04
235,2014,Fish & Seafood,Medium Prawns (Per Kilogram),18.69
236,2014,Fish & Seafood,Salmon (Per Kilogram),27.42
237,2014,Fish & Seafood,Sea Bass (Per Kilogram),12.35
238,2014,Fish & Seafood,Sea Bream (Ang Ko Li) (Per Kilogram),8.61
239,2014,Fish & Seafood,Small Prawns (Per Kilogram),12.92
240,2014,Fish & Seafood,Spanish Mackerel (Batang) (Per Kilogram),11.36
241,2014,Fish & Seafood,Squids (Per Kilogram),12.72
242,2014,Fish & Seafood,Threadfin (Kurau) (Per Kilogram),51.18
243,2014,Fish & Seafood,White Pomfret (Per Kilogram),25.02
244,2014,Fruits,Apple (Each),0.45
245,2014,Fruits,Bananas (Per Kilogram),2.12
246,2014,Fruits,Grapes (Per Kilogram),8.92
247,2014,Fruits,Orange (Each),0.35
248,2014,Fruits,Papaya (Per Kilogram),2.15
249,2014,Fruits,Pear (Each),0.97
250,2014,Fruits,Watermelon (Per Kilogram),1.65
251,2014,Hawker Food,Chicken Nasi Briyani (Per Plate),5.1
252,2014,Hawker Food,Chicken Rice (Per Plate),3.15
253,2014,Hawker Food,Economical Rice (1 Meat & 2 Vegetables) (Per Plate),3.09
254,2014,Hawker Food,Fishball Noodle (Per Bowl),3.15
255,2014,Hawker Food,Fried Carrot Cake (Per Plate),2.79
256,2014,Hawker Food,Ice Kachang (Per Bowl),1.89
257,2014,Hawker Food,Mee Rebus (Per Bowl),2.99
258,2014,Hawker Food,Roti Prata (Plain) (Per Piece),0.96
259,2014,Meat,"Beef, Chilled (Per Kilogram)",22.65
260,2014,Meat,"Chicken Wing, Chilled (Per Kilogram)",7.87
261,2014,Meat,"Duck, Chilled (Per Kilogram)",6.83
262,2014,Meat,"Lean Pork, Chilled (Per Kilogram)",13.21
263,2014,Meat,"Lean Pork, Frozen (Per 500 Gram)",4.37
264,2014,Meat,"Mutton, Chilled (Per Kilogram)",17.79
265,2014,Meat,"Pork Rib Bones, Chilled (Per Kilogram)",16.44
266,2014,Meat,"Pork Rib Bones, Frozen (Per 500 Gram)",5.12
267,2014,Meat,"Streaky Pork, Chilled (Per Kilogram)",14.88
268,2014,Meat,"Whole Chicken, Chilled (Per Kilogram)",6.14
269,2014,"Milk, Cheese & Eggs",Cheese (Per 12 Slices),4.74
270,2014,"Milk, Cheese & Eggs",Fresh Milk (Per Litre),2.87
271,2014,"Milk, Cheese & Eggs",Hen Eggs (Per 10),2.14
272,2014,"Milk, Cheese & Eggs",Infant Milk Powder (Per 100 Gram),5.67
273,2014,Petrol,"Petrol, 92 Octane (Per Litre)",2.0
274,2014,Petrol,"Petrol, 95 Octane (Per Litre)",2.05
275,2014,Petrol,"Petrol, 98 Octane (Per Litre)",2.22
276,2014,Rice,Premium Thai Rice (Per 5 Kilogram),13.07
277,2014,Vegetables,Broccoli (Per Kilogram),6.06
278,2014,Vegetables,Cabbage (Per Kilogram),2.01
279,2014,Vegetables,Carrots (Per Kilogram),2.04
280,2014,Vegetables,Chinese Kale (Kailan) (Per Kilogram),5.14
281,2014,Vegetables,Potatoes (Per Kilogram),1.95
282,2014,Vegetables,Small Mustard (Chye Sim) (Per Kilogram),3.2
283,2014,Vegetables,Spinach (Bayam) (Per Kilogram),2.79
284,2014,Vegetables,Tomatoes (Per Kilogram),2.33
285,2015,Bread,Ordinary White Bread (Per 400 Gram),1.6
286,2015,Bread,Vitamin Enriched Bread (Per 400 Gram),1.88
287,2015,Bread,Wholemeal Bread (Per 400 Gram),2.04
288,2015,Fish & Seafood,Cod Fish (Per Kilogram),51.61
289,2015,Fish & Seafood,Flowery Grouper (Per Kilogram),13.88
290,2015,Fish & Seafood,Gold Banded Scad (Kuning) (Per Kilogram),6.96
291,2015,Fish & Seafood,Golden Snapper (Per Kilogram),18.78
292,2015,Fish & Seafood,Medium Prawns (Per Kilogram),18.65
293,2015,Fish & Seafood,Salmon (Per Kilogram),27.26
294,2015,Fish & Seafood,Sea Bass (Per Kilogram),11.97
295,2015,Fish & Seafood,Sea Bream (Ang Ko Li) (Per Kilogram),8.6
296,2015,Fish & Seafood,Small Prawns (Per Kilogram),13.19
297,2015,Fish & Seafood,Spanish Mackerel (Batang) (Per Kilogram),11.61
298,2015,Fish & Seafood,Squids (Per Kilogram),13.3
299,2015,Fish & Seafood,Threadfin (Kurau) (Per Kilogram),52.93
300,2015,Fish & Seafood,White Pomfret (Per Kilogram),26.29
301,2015,Fruits,Apple (Each),0.45
302,2015,Fruits,Bananas (Per Kilogram),2.18
303,2015,Fruits,Grapes (Per Kilogram),9.25
304,2015,Fruits,Orange (Each),0.39
305,2015,Fruits,Papaya (Per Kilogram),1.96
306,2015,Fruits,Pear (Each),0.94
307,2015,Fruits,Watermelon (Per Kilogram),1.61
308,2015,Hawker Food,Chicken Nasi Briyani (Per Plate),5.18
309,2015,Hawker Food,Chicken Rice (Per Plate),3.21
310,2015,Hawker Food,Economical Rice (1 Meat & 2 Vegetables) (Per Plate),3.15
311,2015,Hawker Food,Fishball Noodle (Per Bowl),3.21
312,2015,Hawker Food,Fried Carrot Cake (Per Plate),2.85
313,2015,Hawker Food,Ice Kachang (Per Bowl),1.9
314,2015,Hawker Food,Mee Rebus (Per Bowl),3.01
315,2015,Hawker Food,Roti Prata (Plain) (Per Piece),1.0
316,2015,Meat,"Beef, Chilled (Per Kilogram)",23.27
317,2015,Meat,"Chicken Wing, Chilled (Per Kilogram)",7.89
318,2015,Meat,"Duck, Chilled (Per Kilogram)",6.95
319,2015,Meat,"Lean Pork, Chilled (Per Kilogram)",13.32
320,2015,Meat,"Lean Pork, Frozen (Per 500 Gram)",4.32
321,2015,Meat,"Mutton, Chilled (Per Kilogram)",18.15
322,2015,Meat,"Pork Rib Bones, Chilled (Per Kilogram)",16.72
323,2015,Meat,"Pork Rib Bones, Frozen (Per 500 Gram)",4.97
324,2015,Meat,"Streaky Pork, Chilled (Per Kilogram)",15.04
325,2015,Meat,"Whole Chicken, Chilled (Per Kilogram)",6.11
326,2015,"Milk, Cheese & Eggs",Cheese (Per 12 Slices),4.77
327,2015,"Milk, Cheese & Eggs",Fresh Milk (Per Litre),2.84
328,2015,"Milk, Cheese & Eggs",Hen Eggs (Per 10),2.22
329,2015,"Milk, Cheese & Eggs",Infant Milk Powder (Per 100 Gram),5.97
330,2015,Petrol,"Petrol, 92 Octane (Per Litre)",1.87
331,2015,Petrol,"Petrol, 95 Octane (Per Litre)",1.92
332,2015,Petrol,"Petrol, 98 Octane (Per Litre)",2.19
333,2015,Rice,Premium Thai Rice (Per 5 Kilogram),13.07
334,2015,Vegetables,Broccoli (Per Kilogram),5.9
335,2015,Vegetables,Cabbage (Per Kilogram),2.09
336,2015,Vegetables,Carrots (Per Kilogram),2.07
337,2015,Vegetables,Chinese Kale (Kailan) (Per Kilogram),5.17
338,2015,Vegetables,Potatoes (Per Kilogram),1.98
339,2015,Vegetables,Small Mustard (Chye Sim) (Per Kilogram),3.18
340,2015,Vegetables,Spinach (Bayam) (Per Kilogram),2.78
341,2015,Vegetables,Tomatoes (Per Kilogram),2.37
342,2016,Bread,Ordinary White Bread (Per 400 Gram),1.62
343,2016,Bread,Vitamin Enriched Bread (Per 400 Gram),1.88
344,2016,Bread,Wholemeal Bread (Per 400 Gram),2.04
345,2016,Fish & Seafood,Cod Fish (Per Kilogram),59.51
346,2016,Fish & Seafood,Flowery Grouper (Per Kilogram),14.44
347,2016,Fish & Seafood,Gold Banded Scad (Kuning) (Per Kilogram),6.98
348,2016,Fish & Seafood,Golden Snapper (Per Kilogram),18.66
349,2016,Fish & Seafood,Medium Prawns (Per Kilogram),18.8
350,2016,Fish & Seafood,Salmon (Per Kilogram),28.87
351,2016,Fish & Seafood,Sea Bass (Per Kilogram),12.45
352,2016,Fish & Seafood,Sea Bream (Ang Ko Li) (Per Kilogram),8.81
353,2016,Fish & Seafood,Small Prawns (Per Kilogram),13.39
354,2016,Fish & Seafood,Spanish Mackerel (Batang) (Per Kilogram),11.57
355,2016,Fish & Seafood,Squids (Per Kilogram),14.51
356,2016,Fish & Seafood,Threadfin (Kurau) (Per Kilogram),56.95
357,2016,Fish & Seafood,White Pomfret (Per Kilogram),27.66
358,2016,Fruits,Apple (Each),0.43
359,2016,Fruits,Bananas (Per Kilogram),2.31
360,2016,Fruits,Grapes (Per Kilogram),9.26
361,2016,Fruits,Orange (Each),0.43
362,2016,Fruits,Papaya (Per Kilogram),1.97
363,2016,Fruits,Pear (Each),0.99
364,2016,Fruits,Watermelon (Per Kilogram),1.52
365,2016,Hawker Food,Chicken Nasi Briyani (Per Plate),5.32
366,2016,Hawker Food,Chicken Rice (Per Plate),3.25
367,2016,Hawker Food,Economical Rice (1 Meat & 2 Vegetables) (Per Plate),3.22
368,2016,Hawker Food,Fishball Noodle (Per Bowl),3.26
369,2016,Hawker Food,Fried Carrot Cake (Per Plate),2.89
370,2016,Hawker Food,Ice Kachang (Per Bowl),1.93
371,2016,Hawker Food,Mee Rebus (Per Bowl),3.07
372,2016,Hawker Food,Roti Prata (Plain) (Per Piece),1.02
373,2016,Meat,"Beef, Chilled (Per Kilogram)",23.86
374,2016,Meat,"Chicken Wing, Chilled (Per Kilogram)",8.04
375,2016,Meat,"Duck, Chilled (Per Kilogram)",7.09
376,2016,Meat,"Lean Pork, Chilled (Per Kilogram)",13.81
377,2016,Meat,"Lean Pork, Frozen (Per 500 Gram)",4.23
378,2016,Meat,"Mutton, Chilled (Per Kilogram)",18.27
379,2016,Meat,"Pork Rib Bones, Chilled (Per Kilogram)",17.2
380,2016,Meat,"Pork Rib Bones, Frozen (Per 500 Gram)",4.78
381,2016,Meat,"Streaky Pork, Chilled (Per Kilogram)",15.76
382,2016,Meat,"Whole Chicken, Chilled (Per Kilogram)",6.35
383,2016,"Milk, Cheese & Eggs",Cheese (Per 12 Slices),4.56
384,2016,"Milk, Cheese & Eggs",Fresh Milk (Per Litre),2.81
385,2016,"Milk, Cheese & Eggs",Hen Eggs (Per 10),2.17
386,2016,"Milk, Cheese & Eggs",Infant Milk Powder (Per 100 Gram),6.23
387,2016,Petrol,"Petrol, 92 Octane (Per Litre)",1.77
388,2016,Petrol,"Petrol, 95 Octane (Per Litre)",1.82
389,2016,Petrol,"Petrol, 98 Octane (Per Litre)",2.17
390,2016,Rice,Premium Thai Rice (Per 5 Kilogram),13.13
391,2016,Vegetables,Broccoli (Per Kilogram),6.31
392,2016,Vegetables,Cabbage (Per Kilogram),2.26
393,2016,Vegetables,Carrots (Per Kilogram),2.13
394,2016,Vegetables,Chinese Kale (Kailan) (Per Kilogram),5.89
395,2016,Vegetables,Potatoes (Per Kilogram),2.07
396,2016,Vegetables,Small Mustard (Chye Sim) (Per Kilogram),3.32
397,2016,Vegetables,Spinach (Bayam) (Per Kilogram),2.81
398,2016,Vegetables,Tomatoes (Per Kilogram),2.25
399,2017,Bread,Ordinary White Bread (Per 400 Gram),1.63
400,2017,Bread,Vitamin Enriched Bread (Per 400 Gram),1.8
401,2017,Bread,Wholemeal Bread (Per 400 Gram),2.04
402,2017,Fish & Seafood,Cod Fish (Per Kilogram),65.05
403,2017,Fish & Seafood,Flowery Grouper (Per Kilogram),14.19
404,2017,Fish & Seafood,Gold Banded Scad (Kuning) (Per Kilogram),7.25
405,2017,Fish & Seafood,Golden Snapper (Per Kilogram),18.57
406,2017,Fish & Seafood,Medium Prawns (Per Kilogram),19.15
407,2017,Fish & Seafood,Salmon (Per Kilogram),31.28
408,2017,Fish & Seafood,Sea Bass (Per Kilogram),12.19
409,2017,Fish & Seafood,Sea Bream (Ang Ko Li) (Per Kilogram),9.01
410,2017,Fish & Seafood,Small Prawns (Per Kilogram),14.07
411,2017,Fish & Seafood,Spanish Mackerel (Batang) (Per Kilogram),12.2
412,2017,Fish & Seafood,Squids (Per Kilogram),14.97
413,2017,Fish & Seafood,Threadfin (Kurau) (Per Kilogram),57.28
414,2017,Fish & Seafood,White Pomfret (Per Kilogram),28.69
415,2017,Fruits,Apple (Each),0.42
416,2017,Fruits,Bananas (Per Kilogram),2.35
417,2017,Fruits,Grapes (Per Kilogram),9.69
418,2017,Fruits,Orange (Each),0.44
419,2017,Fruits,Papaya (Per Kilogram),1.96
420,2017,Fruits,Pear (Each),1.01
421,2017,Fruits,Watermelon (Per Kilogram),1.55
422,2017,Hawker Food,Chicken Nasi Briyani (Per Plate),5.51
423,2017,Hawker Food,Chicken Rice (Per Plate),3.29
